File,Target,Facies,Spacecraft Clock,Sol,Sequence ID,Observation Point,SiO2,+/-,SiO2 RMSEP,SiO2_shots_stdev,TiO2,+/-.1,TiO2 RMSEP,TiO2_shots_stdev,Al2O3,+/-.2,Al2O3 RMSEP,Al2O3_shots_stdev,FeOT,+/-.3,FeOT RMSEP,FeOT_shots_stdev,MgO,+/-.4,MgO RMSEP,MgO_shots_stdev,CaO,+/-.5,CaO RMSEP,CaO_shots_stdev,Na2O,+/-.6,Na2O RMSEP,Na2O_shots_stdev,K2O,+/-.7,K2O RMSEP,K2O_shots_stdev,MnO,+/-.8,MnO RMSEP,MnO_shots_stdev,Sum of Oxides,Distance (m),Laser Power,Spectrum Total
CL5_402372860CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402372860.0,55.0,CCAM01055,1.0,39.9,+/-,5.5,0.5,1.32,+/-,0.57,0.1,6.7,+/-,3.3,0.2,20.6,+/-,4.0,0.3,12.4,+/-,3.0,0.4,4.0,+/-,1.5,0.7,1.66,+/-,0.64,0.06,0.85,+/-,0.8,0.09,0.24,+/-,0.07,0.01,87.68,2.52397,100A/95A/95A,1290000000000000.0
CL5_402372930CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402372930.0,55.0,CCAM01055,2.0,41.2,+/-,5.3,1.0,1.18,+/-,0.53,0.11,7.1,+/-,3.3,0.3,20.1,+/-,3.9,0.2,10.2,+/-,2.6,0.5,5.5,+/-,1.8,0.7,1.85,+/-,0.63,0.09,1.86,+/-,1.13,0.14,0.2,+/-,0.07,0.01,89.29,2.52397,100A/95A/95A,1240000000000000.0
CL5_402373001CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402373001.0,55.0,CCAM01055,3.0,43.3,+/-,5.2,0.3,1.08,+/-,0.51,0.05,7.4,+/-,3.3,0.2,19.9,+/-,3.9,0.2,12.2,+/-,2.9,0.5,4.4,+/-,1.5,0.3,2.04,+/-,0.63,0.07,1.73,+/-,1.11,0.13,0.19,+/-,0.06,0.01,92.18,2.52397,100A/95A/95A,1150000000000000.0
CL5_402373071CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402373071.0,55.0,CCAM01055,4.0,42.8,+/-,5.2,0.8,1.31,+/-,0.57,0.14,7.3,+/-,3.3,0.3,20.0,+/-,3.9,0.2,11.7,+/-,2.8,0.8,3.9,+/-,1.4,0.6,2.13,+/-,0.62,0.1,1.98,+/-,1.15,0.16,0.2,+/-,0.07,0.01,91.3,2.52397,100A/95A/95A,1200000000000000.0
CL5_402373141CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402373141.0,55.0,CCAM01055,5.0,41.0,+/-,5.4,0.8,1.52,+/-,0.62,0.07,6.8,+/-,3.3,0.3,20.1,+/-,3.9,0.3,11.4,+/-,2.8,0.5,4.2,+/-,1.5,0.4,1.78,+/-,0.64,0.04,1.34,+/-,1.0,0.09,0.2,+/-,0.07,0.01,88.34,2.52397,100A/95A/95A,1370000000000000.0
CL5_442503669CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442503669.0,25.0,CCAM15025,1.0,44.9,+/-,5.1,0.9,1.07,+/-,0.51,0.07,9.7,+/-,3.5,0.7,19.7,+/-,3.9,0.4,6.4,+/-,2.0,0.3,6.0,+/-,2.0,1.0,2.5,+/-,0.62,0.16,1.23,+/-,0.96,0.26,0.23,+/-,0.07,0.01,91.65,3.09606,100A/95A/95A,882000000000000.0
CL5_442503761CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442503761.0,25.0,CCAM15025,2.0,44.5,+/-,5.1,0.7,1.29,+/-,0.56,0.09,8.1,+/-,3.4,0.4,20.3,+/-,3.9,0.3,10.1,+/-,2.6,0.3,3.5,+/-,1.3,0.5,2.68,+/-,0.62,0.18,1.1,+/-,0.91,0.11,0.2,+/-,0.07,0.01,91.72,3.09606,100A/95A/95A,986000000000000.0
CL5_442503849CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442503849.0,25.0,CCAM15025,3.0,44.2,+/-,5.1,0.4,1.27,+/-,0.56,0.07,8.1,+/-,3.4,0.3,20.9,+/-,4.0,0.5,8.5,+/-,2.4,0.8,4.5,+/-,1.6,0.9,2.29,+/-,0.62,0.16,1.26,+/-,0.97,0.14,0.17,+/-,0.06,0.01,91.29,3.09606,100A/95A/95A,983000000000000.0
CL5_442504082CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504082.0,25.0,CCAM15025,4.0,42.5,+/-,5.2,0.5,1.47,+/-,0.61,0.09,6.7,+/-,3.3,0.3,19.8,+/-,3.9,0.2,11.5,+/-,2.8,0.3,4.3,+/-,1.5,0.7,2.06,+/-,0.63,0.17,0.84,+/-,0.8,0.08,0.18,+/-,0.06,0.01,89.39,3.09606,100A/95A/95A,837000000000000.0
CL5_442504174CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504174.0,25.0,CCAM15025,5.0,43.1,+/-,5.2,0.5,1.11,+/-,0.52,0.07,7.5,+/-,3.4,0.3,20.4,+/-,4.0,0.3,9.1,+/-,2.4,0.3,4.7,+/-,1.6,0.4,1.99,+/-,0.63,0.08,0.91,+/-,0.83,0.08,0.21,+/-,0.07,0.01,88.99,3.09606,100A/95A/95A,781000000000000.0
