File,Spacecraft Clock,Sol,Target,SiO2,SiO2 RMSEP,SiO2_shots_stdev,TiO2,TiO2 RMSEP,TiO2_shots_stdev,Al2O3,Al2O3 RMSEP,Al2O3_shots_stdev,FeOT,FeOT RMSEP,FeOT_shots_stdev,MgO,MgO RMSEP,MgO_shots_stdev,CaO,CaO RMSEP,CaO_shots_stdev,Na2O,Na2O RMSEP,Na2O_shots_stdev,K2O,K2O RMSEP,K2O_shots_stdev,MnO,MnO RMSEP,MnO_shots_stdev,Sum of Oxides,Distance (m),Laser Power,Spectrum Total,Facies,Point
CL5_399179536CCS_F0030078CCAM02019P3.SAV,399179536,19,Goulburn_7,50.3,5,0.8,1.05,0.5,0.1,21.7,3.8,0.7,5.8,2.1,1,2.6,1.6,0.3,4.7,1.6,0.9,4.22,0.73,0.31,1.3,0.99,0.13,0.07,0.04,0.77,91.81,5.02842,100A/95A/95A,1.37E+14,8,1
CL5_399179597CCS_F0030078CCAM02019P3.SAV,399179597,19,Goulburn_7,53.8,5.1,2.7,0.49,0.35,0.06,18.5,3.7,1.3,8.1,2.4,3.2,5.7,1.9,1.6,4.1,1.4,0.7,3.41,0.65,0.77,0.77,0.77,0.13,0.21,0.07,0.24,95.08,5.02842,100A/95A/95A,1.91E+14,8,2
CL5_399179658CCS_F0030078CCAM02019P3.SAV,399179658,19,Goulburn_7,53.1,5.1,1.1,0.86,0.46,0.16,22.6,3.8,1,4.5,1.9,1.3,1.6,1.5,0.3,6.9,2.2,0.9,5.35,0.95,0.16,2.03,1.17,0.39,0.1,0.05,2,97.06,5.02842,100A/95A/95A,1.22E+14,8,3
CL5_399179719CCS_F0030078CCAM02019P3.SAV,399179719,19,Goulburn_7,54.4,5.1,2.9,6.27,2.83,2.71,24.7,3.9,4.4,12,3,0.5,3,1.7,0.3,4.3,1.5,0.9,3.92,0.69,0.43,0.73,0.75,0.1,0.75,0.25,2.81,110.08,5.02842,100A/95A/95A,5.61E+13,8, 
CL5_399179780CCS_F0030078CCAM02019P3.SAV,399179780,19,Goulburn_7,47.7,4.9,1.3,0.74,0.43,0.02,26.9,4,1.3,2.2,1.7,2,0.8,1.5,0.4,10.3,2.9,0.3,6.34,1.06,0.16,1.22,0.96,0.14,6.41,0.87,2.53,102.54,5.02842,100A/95A/95A,9.23E+13,8,4
CL5_399444150CCS_F0030100CCAM01022P3.SAV,399444150,22,Thor_Lake,46.4,5,1.3,0.7,0.42,0.02,6.6,3.3,0.2,18.7,4,0.3,6.2,2,0.2,15.2,3.4,0.5,2.16,0.62,0.1,0.39,0.62,0.04,0.25,0.08,0.61,96.7,5.31814,100A/95A/95A,5.12E+14,12,1
CL5_399444255CCS_F0030100CCAM01022P3.SAV,399444255,22,Thor_Lake,54.3,5.1,0.8,0.2,0.25,0.03,25.1,3.9,0.4,0.3,1.6,0.9,0.4,1.4,0.1,7.9,2.5,0.2,7.76,1.22,0.15,1.01,0.87,0.07,0.1,0.05,2.31,97.11,5.31814,100A/95A/95A,2.20E+14,12,2
CL5_399444360CCS_F0030100CCAM01022P3.SAV,399444360,22,Thor_Lake,53.3,5.1,0.7,0.82,0.45,0.03,24.6,3.9,0.3,2.7,1.8,1,0.5,1.5,0.1,9.3,2.8,0.3,7.26,1.16,0.16,1.66,1.1,0.07,0.14,0.05,1.35,100.25,5.31814,100A/95A/95A,2.82E+14,12,3
CL5_399444466CCS_F0030100CCAM01022P3.SAV,399444466,22,Thor_Lake,53.8,5.1,0.7,0.79,0.45,0.02,22.1,3.8,0.4,9.5,2.6,0.4,1,1.5,0.1,5.3,1.8,0.2,6.99,1.13,0.11,1.48,1.05,0.06,0.06,0.03,0.36,100.85,5.31814,100A/95A/95A,2.85E+14,12,4
CL5_399444571CCS_F0030100CCAM01022P3.SAV,399444571,22,Thor_Lake,39.5,5.5,0.6,10.06,4.64,0.19,7,3.3,0.1,24,4.6,0.7,2.9,1.6,0.1,1.6,0.9,0.1,2.44,0.61,0.09,0.34,0.6,0.03,0.16,0.06,0.01,87.96,5.31814,100A/95A/95A,1.21E+15,12,5
